               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07505,            0.034794,            0.035053,             0.35012,             0.54186,             0.41048,             0.16197,            0.026983,            0.013244,            0.022366,            0.070789,           0.0032456,           0.0032456
                   1,            0.051356,            0.027301,            0.035499,             0.36972,             0.63864,             0.44772,             0.20964,            0.033667,           0.0080654,            0.020671,            0.040355,           0.0061447,           0.0061447
                   2,            0.047434,            0.021588,            0.028278,             0.32632,             0.56702,             0.42673,             0.15828,            0.032133,           0.0073769,            0.018112,           0.0094811,           0.0086039,           0.0086039
                   3,            0.043689,            0.019862,            0.026425,             0.38614,             0.66138,             0.50274,             0.24506,            0.028288,           0.0070063,            0.016537,             0.00802,             0.00802,             0.00802
                   4,            0.039426,            0.018204,            0.022453,             0.69322,             0.72874,             0.77234,             0.40575,            0.020457,           0.0068113,            0.015971,             0.00802,             0.00802,             0.00802
                   5,            0.037172,             0.01854,            0.020685,             0.64441,             0.78945,             0.70531,             0.37635,            0.020729,           0.0060792,            0.016478,             0.00736,             0.00736,             0.00736
                   6,            0.032912,             0.01795,            0.019861,             0.72943,             0.72804,             0.80608,             0.44623,            0.020402,             0.00543,            0.015009,              0.0067,              0.0067,              0.0067
                   7,            0.031387,            0.016848,            0.022107,             0.85349,             0.86906,             0.91931,             0.51299,            0.018878,           0.0049146,             0.01291,             0.00604,             0.00604,             0.00604
                   8,            0.033565,            0.016812,            0.020224,             0.89367,             0.90512,             0.93411,             0.59664,            0.017986,           0.0045935,            0.012363,             0.00538,             0.00538,             0.00538
                   9,            0.029302,            0.015856,            0.018936,             0.92123,             0.92462,             0.95303,             0.58894,            0.015559,           0.0044752,            0.012159,             0.00472,             0.00472,             0.00472
                  10,            0.027624,            0.016043,            0.015194,             0.90564,             0.91212,             0.94206,              0.6011,            0.017685,           0.0044298,            0.012224,             0.00406,             0.00406,             0.00406
                  11,            0.025787,            0.014572,            0.016888,             0.89625,             0.92555,             0.94843,             0.64093,            0.016047,           0.0042077,            0.011527,              0.0034,              0.0034,              0.0034
                  12,            0.025871,            0.015656,            0.019496,             0.92875,             0.93683,              0.9606,             0.64973,            0.013724,           0.0042768,            0.011677,             0.00274,             0.00274,             0.00274
                  13,            0.023332,             0.01417,            0.016343,             0.94383,             0.93949,             0.96345,             0.65706,            0.013639,           0.0041026,            0.011102,             0.00208,             0.00208,             0.00208
                  14,            0.021678,            0.014254,            0.015778,             0.91832,             0.94097,             0.95679,             0.67405,            0.013194,           0.0040258,            0.011325,             0.00142,             0.00142,             0.00142
